3.5   15.668768
3.451   10.80518
3.4   12.274716
3.35   14.194564
3.3   11.000576
3.25   10.382176
3.2   18.862364
3.148   13.440596
3.1   17.52716
3.05   9.898328
3.0   19.489316
2.95   11.24068
2.9   22.584356
2.85   21.956752
2.8   19.275796
2.75   27.05188
2.7   17.722436
2.65   25.275004
2.6   30.206756
2.55   22.52536
2.5   29.886684
2.45   57.790696
2.4   46.187484
2.35   48.429028
2.3   40.840724
2.25   433.662792
2.2   479.800172
2.15   307.317436
2.1   964.071876
2.05   1058.75664
2.0   1121.506516
1.95   1167.740096
1.9   1196.462616
1.85   1243.585276
1.8   1272.647724
1.75   1304.22918
1.7   1322.328156
1.65   1339.657952
1.6   1361.755512
1.55   1374.293904
1.5   1381.211672
1.45   1393.7421
1.4   1403.219768
1.35   1411.866484
1.3   1417.908168
1.25   1423.788536
1.2   1428.15576
1.15   1432.296364
1.1   1435.831948
1.05   1439.120896
1.0   1441.84174
